,level_0,energy_consumption_per_annum
693207,1002634,222.5796867792386
86807,477851,239.77128840555176
865651,822040,294.253864604753
159987,1051703,228.94081342981855
64058,436651,265.0362095375696
641623,360289,221.33388762245627
530236,673652,94.23978283182475
219955,21974,154.2038087704982
842129,1257481,344.2749237999884
793633,848390,444.7460822903462
954834,744337,277.01444410583537
158820,903852,305.6281536698893
830968,623387,220.63907897115064
820367,329595,207.68989361854355
105250,1382478,169.98315594690922
535085,340962,299.1375050575325
678288,303734,269.3605201793053
775138,1345822,272.51671070932554
687537,913887,333.5019683954065
448637,403491,328.5283937218958
341824,1366424,153.66182912449045
60542,781004,547.1789501266403
159735,792186,161.78153419944869
55121,1337814,258.8971104456615
613857,619602,302.33814272507647
433246,794763,806.1591522722841
357294,534513,244.70096240798176
217453,380707,232.9049425640056
303509,67249,196.83279643675007
887755,427454,149.0828292230632
70820,488976,190.83172072808668
999817,1330335,132.9163870351956
889150,1085039,206.80996792189617
683287,735282,401.03393062431326
567334,427460,345.89222416543583
795801,102840,227.35349846384997
659536,688121,217.8981470666497
919171,1045878,383.1537383878314
605648,1132567,200.1667401644575
815516,1106016,134.91640798923046
818261,1485677,247.29142700167577
980520,769796,180.9754226213232
211741,440688,232.98478032265828
772327,1203965,123.937412579736
910898,777752,216.3232720343848
824369,613084,126.46849451691304
914868,157224,408.1454613312689
20175,744753,546.4866171188407
151717,23988,72.15243241978621
92403,998875,329.24232144827874
622916,290484,182.2496671735683
304773,568211,770.9824279490217
891801,1080676,159.6986035805932
171200,478994,237.01239408836287
90803,1059178,340.11161307642925
627515,445224,132.51165514262857
158578,1103814,192.45521066938
820893,1414188,181.65732053601636
275117,92999,232.00057820209537
133904,659074,314.801582623105
384103,709316,310.57483027494175
255503,754580,318.5425116312162
568665,1164301,56.33353742888002
662403,684070,439.3720683682745
302698,17961,210.8249876594065
269863,1439554,377.26814684381054
386786,413592,558.0649322557932
418517,995191,399.2315822804871
557537,645990,196.69683556809343
174884,1501303,324.89164834467283
900241,270327,186.15061279756537
975975,442284,327.6908291558627
885253,702815,369.226396794312
809829,593726,281.7894125297209
314327,1085279,367.4643177947266
731858,627884,61.64960270830082
499296,479504,253.7919515644201
671193,539561,125.67376460115818
429055,1114112,71.52534178939936
887818,286340,168.54487170734194
724602,185571,69.63082768562344
428081,548893,296.1004836358608
203602,752857,568.9028275343715
547659,461527,218.46787842167495
710496,1203158,232.7755344603429
112116,1498255,109.15928428813405
512776,130393,406.54293739874265
568915,424532,331.05523638179443
951228,386135,259.5842213934056
60210,1459505,342.13793740145445
861364,80020,170.46467965874876
899675,701787,122.28524209919875
1001094,392233,105.35542538304288
194862,253887,230.81673047596743
800764,1064843,382.0172184040448
889122,3454,194.14310234267217
37246,305176,411.6604696418796
226926,305521,272.51958763394146
98976,1062548,141.73137694634516
487950,1471762,186.87840544588016
412209,1448582,118.7325114426628
269237,602216,176.2672972838087
761944,995721,200.21826825049968
451553,259028,228.4649362165869
978422,1194245,228.00312832480023
670428,235031,167.11063193339226
831740,743008,197.74006973239744
70733,1253049,87.69515329299003
959151,921815,250.62478939129736
440201,1272865,88.68045028991983
979734,1268018,278.1966927382641
203890,568904,216.15111871355148
755555,772971,239.65438875642704
812616,1400616,378.3035862558272
66212,240257,248.3223172665845
881703,29755,316.7394811856711
501636,402533,318.3985193756792
563681,1097601,345.1086544656601
609013,823391,759.9867259527227
1005611,130679,298.6111323085637
407887,452787,164.35994549672202
493155,1027074,204.23761009390068
532517,684525,270.8138717510988
68295,1072018,263.1460175307795
179727,1198121,115.4015502897238
383201,997488,226.15040573912532
926017,628836,226.57181852330984
402562,179276,135.50806070823035
392460,46845,151.64870837861753
477804,101155,142.8573982681326
293239,642499,198.69020055716837
356918,358682,127.58825007744797
342227,1366966,254.91873457478133
598510,1333204,292.5848566497275
618677,1050832,311.58321819234
809159,629153,223.7114691394492
313497,1448674,127.7172088107838
697126,67780,181.50505650080052
165831,999884,322.26819738620964
